parameter,value
Cs,10.910699343661939
DA,0.004553896525577363
dB,2.608894032574755
DC,288.0847436854561
DR,1.4199821501075036
K,8281.955094212157
k1,7.450628025963545e-08
k2,51.88942395811057
k3,2.2897496724803998e-08
k4,0.00021967572390942485
k5,8.212843677389336e-06
k6,124.8507479991479
kB,0.011475907966215372
KLP,229759.65495960583
kO,1298.1185922282252
KOP,5689.430873200974
kP,2782.69049698414
rL,20562726.04313887
SP,5256.013270331347
k1_B_builds_bone,571391.6931951147
k2_B_builds_bone,1311.4750445625236
k1_C_consumes_bone,917838.046439122
k2_C_consumes_bone,6.424865992709928
k_tumor_div_basal,0.07311445238009753
k_tumor_dth,0.0006260716289199186
N,1207.2372775277663
k_tumor_div_TGFb,0.23456497607941362
k_tumor_PTHrP,20329.085707776077
k_tumor_OB,4.3517548110046455e-05
k_bisphos_AOC,0.6410604694607642
